,Unnamed: 0.2,Unnamed: 0.1,url,Context,Unnamed: 0,RE_pred
0,4000,4000,https://migri.fi/en/faq-residence-permits,"You may be granted a residence permit, if you have a valid passport.",2115.0,"['passport, residence permit, requirement, document: valid']"
1,4001,4001,https://migri.fi/en/faq-residence-permits,You have to renew your passport and residence permit normally.,2118.0,"['passport, residence permit, renewal, None']"
2,4002,4002,https://migri.fi/en/faq-residence-permits,The expiration of a passport or of a residence permit is not a ground for expediting a citizenship application.,2119.0,"['expiration, passport, ground_for, None', 'expiration, residence permit, ground_for, None', 'residence permit, citizenship application, ground_for, None']"
3,4003,4003,https://migri.fi/en/faq-residence-permits,"Yes, you are allowed to stay a maximum of 90 days at a time in the Schengen area using a residence permit granted by Finland, including before you enter Finland for the first time.",2121.0,"['residence permit, Schengen area, requirement, length, maximum of 90 days', 'residence permit, Finland, requirement, None, None']"
4,4004,4004,https://migri.fi/en/faq-residence-permits,You will not need a separate visa.,2122.0,[]
5,4005,4005,https://migri.fi/en/faq-residence-permits,"The ninety days time limit concerns the total time spent in the Schengen area, not an individual country",2123.0,"['Entity1: time limit, Entity2: Schengen area, Relation: concerns, Qualifier Key: total time spent, Qualifier Value: ']"
6,4006,4006,https://migri.fi/en/faq-residence-permits,You should apply for an extended permit before the validity of your previous residence permit expires.,2124.0,"['Entity1: extended permit, Entity2: previous residence permit, Relation: requirement, Qualifier Key: validity, Qualifier Value: expires']"
7,4007,4007,https://migri.fi/en/faq-residence-permits,"Please submit your application in good time, so that you can make arrangements for your trip and make sure that your permit does not expire while you are away.",2125.0,"['Entity1, Entity2, Relation, Qualifier Key: Qualifier Value ', 'null, permit, requirement, application_time, in good time']"
8,4008,4008,https://migri.fi/en/faq-residence-permits,You can only apply for an extended permit in Finland.,2126.0,"['extended permit, Finland, application_form']"
9,4009,4009,https://migri.fi/en/faq-residence-permits,"If you submit your residence permit application abroad at a Finnish mission, it will be processed as a new application for a first residence permit.",2127.0,"['residence permit application, Finnish mission, where, abroad', 'residence permit application, first residence permit, application_type, new']"
10,4010,4010,https://migri.fi/en/faq-residence-permits,"If you are required to have a visa, it is possible that you will not be issued a visa to return to Finland.",2128.0,"['visa, Finland, requirement, None', 'not be issued, visa, eligibility, None', 'return to Finland, visa, application_form, None']"
11,4011,4011,https://migri.fi/en/faq-residence-permits,The Finnish mission makes the decision to grant a visa.,2129.0,"['Finnish mission, grant, issued_by']"
12,4012,4012,https://migri.fi/en/faq-residence-permits,If you are a foreign national free of visa you may stay in Finland and Schengen area for a maximum period of 90 days.,2130.0,[]
13,4013,4013,https://migri.fi/en/faq-residence-permits,Other foreign nationals must leave Finland when the residence permit expires.,2131.0,"['Entity1, Entity2, Relation, Qualifier Key: Qualifier Value', 'Foreign nationals, Finland, requirement, Expired: Yes', 'Foreign nationals, Residence permit, requirement, Expired: Yes']"
14,4014,4014,https://migri.fi/en/faq-residence-permits,Residence permits cannot be granted for holiday travel.,2132.0,[]
15,4015,4015,https://migri.fi/en/faq-residence-permits,"Yes, if you are able to return to Finland without a visa or if you have a valid visa that enables several arrivals in the Schengen area.",2133.0,"['entities, return to Finland, ', 'valid visa, several arrivals, allow', 'valid visa, Schengen area, enable']"
16,4016,4016,https://migri.fi/en/faq-residence-permits,"If you are unable to return to Finland, you will be informed of your residence permit decision by a Finnish mission.",2134.0,"['Entity1: you, Entity2: Finland, Relation: unable to return, Qualifier: None', 'Entity1: your residence permit decision, Entity2: a Finnish mission, Relation: where, Qualifier: None']"
17,4017,4017,https://migri.fi/en/faq-residence-permits,A trip or a family visit abroad is not a well-founded reason for expediting an application.,2136.0,[]
18,4018,4018,https://migri.fi/en/faq-residence-permits,Read more about expedited processing.,2137.0,['expedited processing']
19,4019,4019,https://migri.fi/en/faq-residence-permits,Fill in all the required information on the application form carefully and append any required appendices.,2139.0,"['Entity1, Entity2, Relation, Qualifier Key: Qualifier Value', 'fill in information on application form, appendices, requirement, None', 'application form, appendices, application_form, None']"
20,4020,4020,https://migri.fi/en/faq-residence-permits,Providing insufficient information slows the processing of your application because additional clarification is required from you.,2140.0,"['entities not found, information, processing, time:slow']"
21,4021,4021,https://migri.fi/en/faq-residence-permits,Giving insufficient information may also lead to an unfavourable decision.,2141.0,"['insufficient information, unfavourable decision, lead to']"
22,4022,4022,https://migri.fi/en/faq-residence-permits,Telephone enquiries and visits to any of the service points do no expedite the processing of your case.,2142.0,[]
23,4023,4023,https://migri.fi/en/faq-residence-permits,We will contact you if additional information is required.,2143.0,[]
24,4024,4024,https://migri.fi/en/faq-residence-permits,Processing situations for applications and the average processing times can be found on the Processing times page.,2144.0,"['Processing situations, Processing times, relation, location, ']"
25,4025,4025,https://migri.fi/en/faq-residence-permits,The processing times of applications for permanent permits and extended permits are different.,2145.0,"['permanent permits, extended permits, length, different']"
26,4026,4026,https://migri.fi/en/faq-residence-permits,You can apply for an extended permit even if you already have applied for a permanent permit.,2146.0,"['Entity1: extended permit, Entity2: permanent permit, Relation: application, Qualifier: already applied']"
27,4027,4027,https://migri.fi/en/faq-residence-permits,"In that case, you do not need to cancel your application for a permanent permit.",2147.0,[]
28,4028,4028,https://migri.fi/en/faq-residence-permits,Cancelling your application for a permanent permit may result in a gap between your residence permits.,2148.0,"['Entity1: application, Entity2: permanent permit, Relation: cancellation, Qualifier: None', 'Entity1: residence permits, Entity2: gap, Relation: result, Qualifier: None']"
29,4029,4029,https://migri.fi/en/faq-residence-permits,That is why it is advisable to wait until decisions on both applications are ready.,2149.0,[]
30,4030,4030,https://migri.fi/en/faq-residence-permits,"If a permanent residence permit is then granted, you can cancel your application for an extended permit after that.",2150.0,"['permanent residence permit, extended permit, cancellation, None']"
31,4031,4031,https://migri.fi/en/faq-residence-permits,This is especially important if you are changing your name,2154.0,[]
32,4032,4032,https://migri.fi/en/faq-residence-permits,"Certificates issued by authorities of countries other than Finland, Sweden, Norway, Denmark or Iceland must be legalised.",2156.0,"['Entity1: authorities, Entity2: countries, Relation: issued by, Qualifier Key: other than, Qualifier Value: Finland, Sweden, Norway, Denmark or Iceland', 'Entity1: certificates, Entity2: null, Relation: legalised, Qualifier Key: null, Qualifier Value: null']"
33,4033,4033,https://migri.fi/en/faq-residence-permits,"If the certificate is not in Finnish, Swedish, or English, please also send a translation of the certificate in one of these languages, certified by an authorised translator.",2157.0,"['certifcate, Finnish/Swedish/English, language, None', 'certifcate, translation, requirement, certified by authorized translator']"
34,4034,4034,https://migri.fi/en/faq-residence-permits,"No, you may not.",2158.0,[]
35,4035,4035,https://migri.fi/en/faq-residence-permits,"If you wish to change the grounds for your application, you must submit a new application on the basis of marriage.",2159.0,"['Entity1: you, Entity2: application, Relation: requirement, Qualifier: grounds for the application', 'Entity1: new application, Entity2: marriage, Relation: requirement']"
36,4036,4036,https://migri.fi/en/faq-residence-permits,Read more about issuing a residence permit on the basis of marriage.,2160.0,"['entities, issuing, residence permit', 'basis of marriage, issuing, residence permit', 'residence permit, required document, target_group, social group: married couples']"
37,4037,4037,https://migri.fi/en/faq-residence-permits,"If you apply for a permit on new grounds, you must pay the processing fee for the application and visit a Finnish mission abroad or a service point of the Finnish Immigration Service in Finland to prove your identity.",2161.0,"['apply for a permit on new grounds, processing fee, requirement, application_form, null', 'apply for a permit on new grounds, Finnish mission abroad or a service point of the Finnish Immigration Service in Finland, where, location, Finnish mission abroad or a service point of the Finnish Immigration Service in Finland', 'Finnish Immigration Service, processing fee, cost, amount, the processing fee', 'identity, yourself, done_by, identity, yourself']"
38,4038,4038,https://migri.fi/en/faq-residence-permits,"When you apply for a permit on new grounds, the processing time starts to run again from the beginning.",2162.0,"['Entity1, Entity2, processing_time, None']"
39,4039,4039,https://migri.fi/en/faq-residence-permits,The processing time depends on the type of your application.,2163.0,"['Entity1: processing time, Entity2: type of application, Relation: depends on, Qualifier Key: None, Qualifier Value: None']"
40,4040,4040,https://migri.fi/en/faq-residence-permits,Remember to cancel your previous application if you wish to apply for a permit only on your new grounds.,2164.0,[]
41,4041,4041,https://migri.fi/en/faq-residence-permits,You can change the grounds for your application if you have applied for a residence permit on the basis of an established intimate relationship and,2165.0,"['Entity1, Entity2, Relation, Qualifier Key: Qualifier Value ', '""you"", ""residence permit"", ""application"", ""basis: an established intimate relationship""']"
42,4042,4042,https://migri.fi/en/faq-residence-permits,"Send your marriage certificate, evidence on living together or evidence on the custody of your child to the Finnish Immigration Service.",2166.0,"['""marriage certificate"", ""Finnish Immigration Service"", ""requirement"", ""document type: marriage certificate""', '""evidence on living together"", ""Finnish Immigration Service"", ""requirement"", ""document type: evidence of living together""', '""evidence on custody of child"", ""Finnish Immigration Service"", ""requirement"", ""document type: evidence of child custody""']"
43,4043,4043,https://migri.fi/en/faq-residence-permits,We will then assess whether you meet the requirements for a permit on the basis of marriage or cohabitation.,2167.0,"['Entity1: requirements assessment, Entity2: permit, Relation: eligibility assessment, Qualifier Key: on the basis of, Qualifier Value: marriage or cohabitation']"
